Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
ARCH AMAZONICA,ARCH AMAZONICA HONED CHIP SIZE: 68X148X10MM SHEET SIZE: 297X272 12.38 SHEET/M2 5SH/BOX=0.404M2,ARCH,,0.0000,0.0000,M2
ARCH JADE HONED,"ARCH JADE HONED 
SHEET SIZE 297X272X10 
12.38 SHEETS/M2 
5 SHEETS PER BOX=0.404M2",ARCH,,0.0000,0.1646,M2
ARCH JADE HONED -01,"ARCH JADE HONED 
SHEET SIZE 297X272X10 
12.38 SHEETS/M2 
5 SHEETS PER BOX=0.404M2",ARCH,,0.0000,0.1240,M2
ARCH JADE HONED -02,"ARCH JADE HONED SHEET SIZE 297X272X10 12.38 SHEETS/M2 
5 SHEETS/BOX=0.404M2",ARCH,,0.0000,40.9300,M2
ARCH VIOLA HONED,"ARCH VIOLA HONED 
CHIP SIZE 68X148X10MM
SHEET SIZE 297X272MM
12.38SH/M2 5SH/BOX=0.404M2",ARCH,,0.0000,87.2400,M2
ART DECO MINT,ART DECO MINT + CARRARA + NERO SHEET SIZE 306X306X10 10.68 SHEETS/M2 10 SHEETS/BOX=0.936M2,SQUARE,,0.0000,0.0000,M2
ART DECO MINT -01,ART DECO MINT + CARRARA + NERO SHEET SIZE 306X306X7 10.68 SHEETS/M2 10 SHEETS/BOX=0.936M2,SQUARE,,48.0080,45.1080,M2
ART DECO MINT -02,ART DECO MINT +CARRARA +NERO SHEET SIZE 306X306X10MM 10.68 SHEETS/M2 10 SHEETS/BOX=0.936M2,SQUARE,,0.0000,0.0000,M2
ART DECO ROSA,"ART DECO ROSA + CARRARA + NERO
SHEET SIZE 306X306X10
10.68 SHEETS/M2
10 SHEETS/BOX=0.936M2",SQUARE,,0.0000,58.8898,M2
ART DECO ROSA -01,ART DECO ROSA + CARRARA + NERO SHEET SIZE 306X306X7 10.68 SHEETS/M2 10 SHEETS/BOX=0.936M2,SQUARE,,0.0000,57.1280,M2
ATLANTIC CHEVRON 400X100X15,ATLANTIC CHEVRON 400X100X15,CHEVRON,,0.0000,0.5000,M2
ATLANTIC HONED 600X600X15,ATLANTIC HONED 600X600X15,,,0.0000,0.8000,M2
BAMBOO WHITE MATT,"BAMBOO WHITE MATT CHIP SIZE :50X300MM
SHEET SIZE :310X315MM",,,0.0000,0.0000,M2
BASKETWAVE CARRARA HONED -01,"BASKETWEAVE LIGHT 
CARRARA HONED CHIP SIZE: 25X48 SHEET SIZE 305X305 10.75 SHEETS / M2
5SH/BOX=0.465M2",BASKETWEAVE,,0.0000,8.2340,M2
BASKETWAVE CARRARA HONED -02,"BASKETWEAVE LIGHT  CARRARA HONED CHIP SIZE: 25X48x10
SHEET SIZE 305X305x10
10.75 SHEETS / M2
5SH/BOX=0.465M2",BASKETWEAVE,,0.0000,17.2000,M2
